"-OR-","-HOẶC-"
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","Việc thanh toán được thực hiện thông qua thẻ tín dụng. Để nhận được tiền bán hàng phải nâng cấp tài khoản để kinh doanh."
"There was an error processing your order. Please contact us or try again later.","Có lỗi khi xử lý đơn hàng của bạn. Hãy liên hệ với chúng tôi hoặc thử lại sau."
"This operation requires an existing transaction object.","Hoạt động này yêu cầu một đối tượng giao dịch hiện tại."
"Time of Day","Thời gian trong ngày"
"Title","Tiêu đề"
"Transaction ID","ID giao dịch"
"Transaction ID must not be empty.","ID giao dịch không được rỗng."
"Transaction Information","Thông tin giao dịch"
"Transfer Cart Line Items","Chuyển giao chi tiết đơn hàng"
"Transfer Shipping Options","Chuyển giao tùy chọn giao hàng"
"Triggered Fraud Filters","Kích hoạt bộ lọc lừa đảo"
"Unable to cancel Express Checkout.","Không thể hủy thanh toán nhanh."
"Unable to change status. Current status is not correspond to real status.","Không thể thay đổi trạng thái. Tình trạng hiện tại không phù hợp với tình hình thực tế."
"Unable to communicate with the PayPal gateway.","Không thể liên lạc với các cổng PayPal."
"Unable to initialize Express Checkout review.","Không thể khởi tạo thanh toán nhanh."
"Unable to initialize Express Checkout.","Không thể khởi tạo thanh toán nhanh."
"Unable to place the order.","Không thể đặt đơn hàng."
"Unable to process Express Checkout approval.","Không thể cháp nhận xử lý thanh toán nhanh."
"Unable to start Express Checkout.","Không thể bắt đầu thanh toán."
"Unable to update shipping method.","Không thể cập nhật phương thức vận chuyển."
"Unknown Error. Please try again later.","Lỗi không xác định. Vui lòng thử lại sau."
"Unknown reason. Please contact PayPal customer service.","Lý do không rõ. Hãy liên hệ với dịch vụ khách hàng PayPal."
"Update Shipping Method","Cập nhật Phương thức Giao hàng "
"Use Proxy","Dùng Proxy"
"Use colon to specify port. For example: ""test.example.com:5224"".","Sử dụng dấu hai chấm để xác định cổng. Ví dụ: "" test.example.com:5224 ""."
"User","Người dùng"
"User-initiated Currency Conversion","Người dùng thực hiện chuyển đổi tiền tệ"
"Uses store frontend name by default.","Sử dụng giao diện người dùng theo mặc định."
"Vendor","Người bán"
"Vendor / Merchant Login","Đăng nhập với tư cách người bán / người mua "
"View","Xem"
"View Demo","Xem Bản demo"
"View PayPal solutions.","Xem giải pháp PayPal."
"View Transaction","Xem giao dịch"
"View Transaction Details","Xem chi tiết giao dịch"
"Virtual PayPal Debit Card Transaction","Ẩn giao dịch công nợ PayPal "
"Virtual Terminal Payment","Ẩn Thanh toán đầu cuối"
"Void","Khoảng trống"
"We prefer PayPal (150 X 40)","Chúng tôi thích PayPal (150 X 40)"
"We prefer PayPal (150 X 60)","Chúng tôi thích PayPal (150 X 60)"
"Website Payments Plus","Thanh toán với trang web"
"Website Payments Plus Settings","Thiết lập thanh toán với trang Web"
"Website Payments Pro","Thanh toán trang Web "
"Website Payments Pro (Payflow Edition) Settings","Thiết lập thanh toán trang web"
"Website Payments Pro Hosted Solution","Giải pháp lưu trữ các thanh toán trên trang Web"
"Website Payments Pro Hosted Solution Settings","Cài đặt giải pháp lưu trữ các thanh toán trên trang web"
"Website Payments Pro Payflow Edition (includes Express Checkout)","Thanh toán Website Pro Payflow Edition (bao gồm Express Checkout)"
"Website Payments Pro Settings","Cài đặt thanh toán trang web"
"Website Payments Standard","Chuẩn Thanh toán trang web "
"Website Payments Standard Payment","Tiêu chuẩn thanh toán trang web"
"Website Payments Standard Settings","Cài đặt trang web thanh toán tiêu chuẩn"
"What is PayPal?","PayPal là gì?"
"Whether to create a billing agreement, if there are no active billing agreements available.","Nếu tạo ra một thỏa thuận thanh toán, nếu không có thoả thuận thanh toán hoạt động sẽ tự động."
"Will appear as a payment option only for customers who have at least one active billing agreement.","Sẽ xuất hiện như là một tùy chọn thanh toán chỉ dành cho những khách hàng có ít nhất một thỏa thuận thanh toán đang hoạt động."
"WorldLink Withdrawal","Liên kết rút tiền thế giới"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Bạn có muốn đăng ký một thỏa thuận thanh toán để sắp xếp mua sắm thêm với PayPal?"
"Wrong PayPal Express Checkout Token specified.","Sai mã quy định thanh toán nhanh."
"Yes","Đồng ý"
"Yes. Matched Address and five-didgit ZIP","Đồng ý. Mã bưu điện và địa chỉ phù hợp"
"You cannot void a verification transaction","Bạn không thể vô hiệu một giao dịch xác minh"
"You will be redirected to the PayPal website in a few seconds.","Bạn sẽ được chuyển hướng đến trang web của PayPal trong một vài giây."
"You will be redirected to the PayPal website when you place an order.","Bạn sẽ được chuyển hướng đến trang web PayPal khi bạn đặt hàng."
"You will be redirected to the PayPal website.","Bạn sẽ được chuyển hướng đến trang web PayPal."
"You will be required to enter your payment details after you place an order.","Bạn sẽ được yêu cầu nhập chi tiết thanh toán của bạn sau khi bạn đặt hàng."
"eBay Auction Payment","Thanh toán qua eBay"
